date,temperatureMax,temperatureMin,rainTotal,rainPercent,barometerMax,barometerMin,cloudMax,cloudMin,humidityMax,humidityMin
2017-12-09,33.44,20.12,0.0,0.0,29.805,29.617,,,75.0,61.0
2017-12-10,32.72,24.8,0.0,0.0,29.657,29.486,,,78.0,62.0
2017-12-11,27.5,9.32,0.0,0.0,29.862,29.646,,,77.0,61.0
2017-12-12,35.24,7.371,0.0,0.0,29.859,29.225,,,78.034,66.0
2017-12-13,31.1,9.32,0.0,0.0,29.296,29.126,,,79.0,68.0
2017-12-14,15.769,-3.82,0.0,0.0,29.679,29.288,,,69.0,59.0
2017-12-15,24.148,-10.48,0.0,0.0,29.777,29.633,,,70.0,58.0
2017-12-16,27.32,10.94,0.0,0.0,29.883,29.552,,,73.0,63.0
2017-12-17,18.32,-10.48,0.0,0.0,30.11,29.883,,,69.0,58.0
2017-12-18,22.64,-4.36,0.0,0.0,30.1,29.678,,,75.0,59.0
2017-12-19,36.14,22.46,0.414,5.56,29.678,29.344,,,91.0,75.0
2017-12-20,35.42,23.0,0.078,1.04,29.816,29.41,,,91.0,86.0
2017-12-21,23.0,6.98,0.0,0.0,30.095,29.816,,,86.0,76.0
2017-12-22,17.06,-0.4,0.0,0.0,30.154,29.978,,,82.0,72.0
2017-12-23,33.44,17.228,0.414,5.56,29.995,29.473,,,91.0,82.0
2017-12-24,27.398,14.9,0.0,0.0,30.117,29.598,,,89.0,82.0
2017-12-25,30.008,14.0,0.0,0.0,29.993,29.334,,,88.0,81.0
2017-12-26,21.2,5.447,0.0,0.0,30.087,29.654,,,84.0,75.0
2017-12-27,10.239,-14.8,0.0,0.0,30.231,30.087,,,75.0,63.0
2017-12-28,-1.3,-20.38,0.0,0.0,30.25,30.165,,,68.0,59.0
2017-12-29,1.94,-20.38,0.0,0.0,30.246,29.906,,,71.0,58.0
2017-12-30,12.86,-19.66,0.0,0.0,29.966,29.659,,,76.0,58.0
2017-12-31,1.94,-18.58,0.0,0.0,30.023,29.692,,,73.0,59.0
2018-01-01,2.48,-16.96,0.0,0.0,30.087,29.982,,,69.0,61.0
2018-01-02,11.66,-24.16,0.0,0.0,29.995,29.831,,,77.0,56.0
2018-01-03,23.0,9.14,0.0,0.0,29.964,29.82,,,80.0,77.0
2018-01-04,17.96,2.3,0.0,0.0,29.921,29.246,,,80.0,74.0
2018-01-05,15.62,-9.04,0.0,0.0,29.504,29.192,,,80.0,66.0
2018-01-06,-6.88,-13.666,0.0,0.0,30.028,29.499,,,67.0,62.0
2018-01-07,11.66,-31.36,0.0,0.0,30.244,29.975,,,75.0,53.0
2018-01-08,30.38,7.129,0.0,0.0,29.975,29.585,,,87.0,73.0
2018-01-09,32.18,25.34,0.0,0.0,30.086,29.615,,,89.0,87.0
